,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
2596,3229,Without Me,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,6FZDfxM3a3UCqtzo5pxSLZ,Halsey,9,0.752,0.488,6,1,0.297,9.11e-06,136.041,0.5329999999999999,0.0705,-7.05,angry
4592,4592,Losing It - Radio Edit,spotify:track:3VgdzCrvyCGtwGezlg1dcQ,3VgdzCrvyCGtwGezlg1dcQ,FISHER,1534,0.729,0.965,2,1,0.00176,0.66,125.021,0.744,0.0624,-5.711,party
996,1091,Perfect,spotify:track:2TeiKDPE3RdamZG0pp5okI,2TeiKDPE3RdamZG0pp5okI,Simple Plan,410,0.494,0.672,3,1,0.0273,0.0,156.208,0.557,0.0405,-4.877,angry
4939,6550,alive,spotify:track:0SQS6U9RfjA4Nph4JcMpU8,0SQS6U9RfjA4Nph4JcMpU8,guardin,2051,0.217,0.89,6,1,3.4399999999999996e-05,0.0,143.97899999999998,0.111,0.0617,-4.273,sad
4404,5870,Gravity,spotify:track:4oa14QBfWRDfJy2agySy0L,4oa14QBfWRDfJy2agySy0L,Sara Bareilles,1119,0.27,0.275,0,1,0.8340000000000001,0.0,168.653,0.23199999999999998,0.0356,-10.357000000000001,sad
9329,9329,Valerie - '68 Version,spotify:track:1om5SLZiUA9DVEnjcZBBzA,1om5SLZiUA9DVEnjcZBBzA,Amy Winehouse,440,0.665,0.827,5,0,0.0127,0.000762,100.657,0.705,0.0348,-4.429,party
6178,6178,Let Me Know,spotify:track:5eM0WUGlosevLM5sA6UsWd,5eM0WUGlosevLM5sA6UsWd,BTS,2389,0.614,0.828,11,0,0.0116,0,136.1,0.16,0.0815,-4.84,party
1542,1542,GET OFF MY D!CK,spotify:track:6BFSpfwe003HLps1y1DA7k,6BFSpfwe003HLps1y1DA7k,ILIRA,696,0.709,0.673,7,1,0.0138,2.5e-05,109.981,0.561,0.0452,-5.291,party
53,53,Backseat Freestyle,spotify:track:3aGibUHhQyBsyumYHylw0K,3aGibUHhQyBsyumYHylw0K,Kendrick Lamar,28,0.546,0.6509999999999999,1,1,0.000739,0.0,77.878,0.6459999999999999,0.3,-7.601,angry
1245,1245,The Take (feat. Chris Brown),spotify:track:0Odu228D0yGcFySGuxU4rY,0Odu228D0yGcFySGuxU4rY,Tory Lanez,141,0.464,0.547,7,0,0.0511,0,67.003,0.423,0.339,-8.137,party
9052,9052,Darth Vader,spotify:track:1JMnSl31OXjftubbC6G5S0,1JMnSl31OXjftubbC6G5S0,Sexton,3230,0.72,0.82,11,1,0.256,0,160.101,0.588,0.151,-4.148,party
6807,6807,Instagram,spotify:track:0U6bQIAh6MCGo1xjbIIx2S,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,263,0.765,0.906,8,0,0.125,0,96.071,0.95,0.0965,-2.097,party
4957,6580,Young & Sad,spotify:track:0gySkOOewOdZtHG8stPEB8,0gySkOOewOdZtHG8stPEB8,Noah Cyrus,150,0.618,0.428,7,0,0.5920000000000001,0.0,142.02100000000002,0.359,0.038,-8.5,sad
946,1025,Hail to the King,spotify:track:5anCkDvJ17aznvK5TED5uo,5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,404,0.58,0.9159999999999999,3,0,0.000297,0.0259,118.00399999999999,0.6829999999999999,0.0387,-4.3580000000000005,angry
902,975,Sell Your Soul,spotify:track:61UHu6xJqZDuoSXgBIh8DK,61UHu6xJqZDuoSXgBIh8DK,Hollywood Undead,89,0.609,0.8440000000000001,4,0,0.000192,0.0,140.082,0.433,0.0554,-6.005,angry
909,983,Mass Hysteria,spotify:track:69PPPZhmlU3XK7QPeTCp6G,69PPPZhmlU3XK7QPeTCp6G,Korn,144,0.612,0.955,9,1,9.379999999999999e-05,0.0007019999999999999,101.006,0.34,0.0599,-4.471,angry
1635,1987,Dream Run,spotify:track:5TeolAk3EbSPxafusAbL3S,5TeolAk3EbSPxafusAbL3S,Parkway Drive,413,0.225,0.997,11,0,0.0015,0.000259,174.435,0.203,0.314,-3.5239999999999996,angry
7993,7993,Better When I'm Dancin',spotify:track:5k5fWendNngd89O8JKoE8L,5k5fWendNngd89O8JKoE8L,Meghan Trainor,662,0.756,0.789,2,1,0.53,0.000711,127.987,0.873,0.0324,-7.002,party
8765,8765,I'm Upset,spotify:track:0jG6bL0uU9FjfZyZRH9wzu,0jG6bL0uU9FjfZyZRH9wzu,Drake,62,0.896,0.596,11,0,0.354,2.43e-06,149.984,0.416,0.259,-8.215,party
11863,11863,Good Day,spotify:track:70HTSqcJXsL0ng1OUzg7vl,70HTSqcJXsL0ng1OUzg7vl,Greg Street,3531,0.898,0.672,9,1,0.539,0.00311,94.009,0.882,0.163,-4.14,party
2383,2971,Sham Pain,spotify:track:7FHUwlZgWulnGlhSaoVUBm,7FHUwlZgWulnGlhSaoVUBm,Five Finger Death Punch,165,0.555,0.95,11,0,0.000172,2.83e-06,96.508,0.385,0.0576,-3.948,angry
