,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label,artist
4725,Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,1,0.556,0,89.911,0.913,0.0466,-5.574,party,Post Malone
4726,STARGAZING,spotify:track:7wBJfHzpfI3032CSD7CE2m,7wBJfHzpfI3032CSD7CE2m,0.487,0.789,8,1,0.00947,4.05e-06,150.007,0.0564,0.044,-3.69,party,Travis Scott
4727,Roses - Imanbek Remix,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,8,1,0.0167,0.0107,121.975,0.898,0.0495,-5.484,party,SAINt JHN
4728,Ritual,spotify:track:3M9Apu4OZfylLTFKvgEtKa,3M9Apu4OZfylLTFKvgEtKa,0.647,0.726,3,0,0.157,0,114.996,0.767,0.0552,-4.389,party,Tiësto
4729,Sorry,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0,0,0.0797,0,99.945,0.41,0.045,-3.669,party,Justin Bieber
4730,Raising Hell (feat. Big Freedia),spotify:track:14wPnCr1Z8CIHBVpnpcTVt,14wPnCr1Z8CIHBVpnpcTVt,0.69,0.864,1,0,0.00142,6.81e-05,114.975,0.313,0.128,-4.769,party,Kesha
4731,Can't Hold Us - feat. Ray Dalton,spotify:track:3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,1,0.0291,0,146.078,0.847,0.0786,-4.457,party,Macklemore & Ryan Lewis
4732,Turn Me On (feat. Vula),spotify:track:0qaWEvPkts34WF68r8Dzx9,0qaWEvPkts34WF68r8Dzx9,0.737,0.828,11,1,0.0149,0.000583,124.052,0.517,0.0396,-4.711,party,Riton
4733,Despacito - Remix,spotify:track:6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2,0.653,0.816,2,1,0.228,0,178.085,0.816,0.167,-4.353,party,Luis Fonsi
4734,2 Hearts (feat. Gia Koka),spotify:track:25rdgpMkMWHgwU7HBPQR7N,25rdgpMkMWHgwU7HBPQR7N,0.503,0.754,7,1,0.264,5.85e-05,116.524,0.597,0.0424,-3.634,party,Sam Feldt
4735,Teenage Dream,spotify:track:5jzKL4BDMClWqRguW5qZvh,5jzKL4BDMClWqRguW5qZvh,0.719,0.798,10,1,0.0162,2.34e-06,120.011,0.591,0.0361,-4.582,party,Katy Perry
4736,Señorita,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,0,0.0392,0,116.967,0.749,0.029,-6.049,party,Shawn Mendes
4737,Never Seen The Rain,spotify:track:0JQ5MbyriK6ruD3t6RZ7ix,0JQ5MbyriK6ruD3t6RZ7ix,0.672,0.464,6,0,0.43,0,92.069,0.271,0.037,-5.624,party,Tones And I
4738,Ain't Your Mama,spotify:track:2hgzdQdnfWwtdpZbhZlV72,2hgzdQdnfWwtdpZbhZlV72,0.757,0.678,8,0,0.0472,9.14e-06,120.075,0.82,0.233,-5.529,party,Jennifer Lopez
4739,Super Bass,spotify:track:0iYebKFUSfF72fUu2OW6ZT,0iYebKFUSfF72fUu2OW6ZT,0.72,0.861,11,1,0.269,5.11e-06,126.991,0.669,0.209,-4.339,party,Nicki Minaj
4740,Party In The U.S.A.,spotify:track:3E7dfMvvCLUddWissuqMwr,3E7dfMvvCLUddWissuqMwr,0.652,0.698,10,0,0.00112,0.000115,96.021,0.47,0.042,-4.667,party,Miley Cyrus
4741,Blinding Lights,spotify:track:0sf12qNH5qcw8qpgymFOqD,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,1,0.00147,0.000209,171.017,0.345,0.0629,-4.075,party,The Weeknd
4742,How Do You Sleep?,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,0,0.153,0,110.567,0.345,0.0925,-4.931,party,Sam Smith
4743,Don't Stop The Music,spotify:track:0ByMNEPAPpOR5H69DVrTNy,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,0,0.0336,6.92e-05,122.668,0.542,0.0643,-5.582,party,Rihanna
4744,Live Forever (With Cheat Codes),spotify:track:4D3IIkBWnpL097OkljGnRW,4D3IIkBWnpL097OkljGnRW,0.69,0.676,7,1,0.213,0,100.023,0.664,0.0335,-6.111,party,Liam Payne
4745,Wasted,spotify:track:2CAK2t1reUgPK6OMgAMURB,2CAK2t1reUgPK6OMgAMURB,0.638,0.816,2,1,0.00149,0.00115,112.014,0.386,0.0308,-5.503,party,Tiësto
4746,Yummy,spotify:track:41L3O37CECZt3N7ziG2z7l,41L3O37CECZt3N7ziG2z7l,0.687,0.514,9,0,0.366,0,145.921,0.494,0.0897,-6.612,party,Justin Bieber
4747,Promiscuous,spotify:track:47aQT2aV12TyilaoYi1NiD,47aQT2aV12TyilaoYi1NiD,0.795,0.978,10,0,0.046,8.29e-05,114.321,0.843,0.0459,-6.097,party,Nelly Furtado
4748,"Badass Woman - From The Motion Picture ""The Hustle""",spotify:track:5Glf3tBr73L1fbO9u4pL7r,5Glf3tBr73L1fbO9u4pL7r,0.726,0.869,6,1,0.0181,0.00022,112.966,0.529,0.0638,-3.978,party,Meghan Trainor
4749,A Thousand Miles,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,4w1lzcaoZ1IC2K5TwjalRP,0.56,0.825,11,1,0.323,0,94.931,0.268,0.0379,-3.862,party,Vanessa Carlton
4750,Favorite Part Of Me - R3HAB Remix,spotify:track:5wWiCYZLUaMGXYYubEd36d,5wWiCYZLUaMGXYYubEd36d,0.667,0.811,1,1,0.0593,0.00736,104.936,0.443,0.105,-4.685,party,Astrid S
