,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
3243,it's not u it's me,spotify:track:7cLm450e9XaPrEZTSTsfwU,7cLm450e9XaPrEZTSTsfwU,Bea Miller,1411,0.776,0.568,0,0,0.0204,1.69e-05,150.901,0.749,0.125,-6.419,sex
3244,Switch,spotify:track:29ZZAShKhwRUuKULSNtxX6,29ZZAShKhwRUuKULSNtxX6,6LACK,26,0.66,0.658,7,1,0.0409,0.00595,176.701,0.153,0.0387,-6.127,sex
3246,Imported (with 6LACK),spotify:track:5zXmmhtXrhDbYnScaYpqZg,5zXmmhtXrhDbYnScaYpqZg,Jessie Reyez,773,0.726,0.636,7,1,0.199,0,111.097,0.362,0.0496,-3.615,sex
3248,Luving U,spotify:track:5irqvOUbWsUefjZ8KPSQ66,5irqvOUbWsUefjZ8KPSQ66,6LACK,26,0.723,0.471,10,1,0.0886,0.000881,121.962,0.135,0.122,-9.506,sex
3250,"Yo Love - From ""Queen & Slim: The Soundtrack""",spotify:track:3Vj8RQkFwOmDvUrwu6MtQZ,3Vj8RQkFwOmDvUrwu6MtQZ,Vince Staples,1412,0.703,0.573,0,1,0.565,3.13e-06,147.038,0.491,0.0724,-9.032,sex
3251,Nonchalant,spotify:track:7c3K8ifIoaVZ2MSUuGo0Co,7c3K8ifIoaVZ2MSUuGo0Co,6LACK,26,0.565,0.386,11,0,0.374,0.000189,83.032,0.0598,0.399,-12.383,sex
3253,Climax (feat. 6lack),spotify:track:4N9QsmvQJcGwJHAmDmBttU,4N9QsmvQJcGwJHAmDmBttU,Young Thug,894,0.829,0.362,0,0,0.0608,0,122.912,0.369,0.231,-11.546,sex
3254,Cutting Ties,spotify:track:6lJ5aSxKHCwNBoWkZT3JeJ,6lJ5aSxKHCwNBoWkZT3JeJ,6LACK,26,0.792,0.605,2,1,0.00881,4.25e-05,139.917,0.239,0.0393,-6.566,sex
3256,Free,spotify:track:4Sv7Fo4bSpK0tM1WBspz4J,4Sv7Fo4bSpK0tM1WBspz4J,6LACK,26,0.755,0.535,2,1,0.00292,4.99e-06,123.961,0.38,0.0476,-5.088,sex
3257,East Atlanta Love Letter (feat. Future),spotify:track:6rJmWa5DvQ3Nby3tdcX2L0,6rJmWa5DvQ3Nby3tdcX2L0,6LACK,26,0.581,0.315,5,0,0.389,1.68e-05,61.381,0.185,0.0781,-11.947,sex
