,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
58,0.145,Disciples,happy,0.711,0.8759999999999999,0.0,5,-4.144,1,37i9dQZF1DWSf2RDTDayIx,0.0551,122.969,I Got You,0.706,wonder,12.090010628072024,0.0,0.0,0.0,0.0,0.0,5.993129826427043,0.0,0.0
59,0.000605,PNAU,happy,0.664,0.799,0.0704,0,-5.597,1,37i9dQZF1DWSf2RDTDayIx,0.0308,123.994,Lucky - LO'99 Remix,0.196,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.000644,Whethan,happy,0.5720000000000001,0.711,4.79e-05,9,-6.19,0,37i9dQZF1DWSf2RDTDayIx,0.17300000000000001,160.119,Clouds (feat. The Wombats),0.434,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.299,NEIL FRANCES,happy,0.642,0.9159999999999999,0.19399999999999998,2,-6.893,1,37i9dQZF1DWSf2RDTDayIx,0.03,119.999,Tuesday,0.9329999999999999,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.235,Polo & Pan,happy,0.643,0.748,0.191,2,-6.535,0,37i9dQZF1DWSf2RDTDayIx,0.0386,96.00399999999999,Feel Good,0.583,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.00305,Raven & Kreyn,happy,0.649,0.816,4.78e-06,1,-3.8110000000000004,1,37i9dQZF1DWSf2RDTDayIx,0.0696,125.99799999999999,Ain't Right,0.802,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.217,J Lisk,happy,0.882,0.376,0.86,6,-15.255999999999998,1,37i9dQZF1DWSf2RDTDayIx,0.05,123.984,Remember,0.4,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.000308,Farius,happy,0.508,0.946,0.0162,9,-5.481,0,37i9dQZF1DWSf2RDTDayIx,0.13699999999999998,128.054,Miami Love,0.188,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.017,Joey Chicago,happy,0.828,0.879,0.075,10,-3.8510000000000004,0,37i9dQZF1DWSf2RDTDayIx,0.289,122.98899999999999,Makin' You Happy,0.563,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0111,Frankie Knuckles,happy,0.688,0.865,0.491,5,-8.77,0,37i9dQZF1DWSf2RDTDayIx,0.0341,125.01,I'll Take You There - Director's Cut Classic Signature Radio Version,0.439,wonder,12.900940844288352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.000542,Kodaline,happy,0.7020000000000001,0.8690000000000001,0.10300000000000001,1,-4.603,0,37i9dQZF1DWSf2RDTDayIx,0.0313,125.96600000000001,Wherever You Are - Joel Corry Remix,0.583,wonder,4.578668245242585,0.0,18.18625103613848,0.0,13.668909287349013,4.183810190030142,0.0,4.398240628408701,13.284197296414273
