,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
3040,3699,This Way - From SUPERFLY - Original Soundtrack,spotify:track:6fbYL76UWbHdYq4B91TPQi,6fbYL76UWbHdYq4B91TPQi,Khalid,47,0.62,0.282,5,0,0.694,0,124.609,0.193,0.0464,-10.533,sex
2617,2617,Sjappa 2020,spotify:track:6bjzcnl8CRbzaYVxpeY6dV,6bjzcnl8CRbzaYVxpeY6dV,Ringnes-Ronny,1113,0.724,0.739,1,1,0.0477,0,75.553,0.7090000000000001,0.135,-5.295,party
737,906,Say It's Mine,spotify:track:0eP1xn67bFa071IhioKPPS,0eP1xn67bFa071IhioKPPS,Motion,423,0.613,0.409,9,0,0.81,3.63e-05,134.998,0.258,0.0905,-11.24,sex
2602,3161,You've Got Another Thing Coming,spotify:track:2oCtKhTsYRh1S9lbzvyxoQ,2oCtKhTsYRh1S9lbzvyxoQ,Judas Priest,1350,0.516,0.805,6,0,0.00426,6.58e-06,138.206,0.516,0.0474,-7.629,sex
2138,2638,In the Midnight Hour - 2006 Remaster; Single Version,spotify:track:5MautHWld06c5TWLB4aO3Z,5MautHWld06c5TWLB4aO3Z,Wilson Pickett,1131,0.694,0.641,4,1,0.76,0,111.849,0.8690000000000001,0.059,-7.223,sex
428,514,Ride or Die,spotify:track:3uWU7WDF55QKMMlAjooD5g,3uWU7WDF55QKMMlAjooD5g,Djaga Djaga,227,0.521,0.45899999999999996,5,0,0.44,6.48e-05,175.989,0.33799999999999997,0.361,-14.136,sad
3068,3750,Shout,spotify:track:0fRtV3nteuYNhpYrOEWKaD,0fRtV3nteuYNhpYrOEWKaD,Lulu And The Luvvers,1571,0.465,0.728,9,1,0.534,0.000252,143.744,0.87,0.0377,-11.116,sex
1307,1307,Rain,spotify:track:4G1qRhOk1YY0kewtMaCrMC,4G1qRhOk1YY0kewtMaCrMC,SWV,631,0.643,0.486,4,0,0.337,3.86e-06,138.151,0.146,0.0278,-10.443,party
1275,1275,Eyes Blue Like The Atlantic,spotify:track:2RrZbxdl9nuFMCrO71tXTG,2RrZbxdl9nuFMCrO71tXTG,Sista Prod,609,0.736,0.279,9,0,0.65,0.000312,76.431,0.47600000000000003,0.903,-16.926,party
2499,3058,Tudo Nosso - Ao Vivo,spotify:track:7xd6rAopZkghDRrKlJXvEy,7xd6rAopZkghDRrKlJXvEy,Atitude 67,1278,0.656,0.813,11,0,0.0465,0.00331,103.028,0.37200000000000005,0.0371,-8.621,sex
2666,3225,Mob Ties,spotify:track:5DMPK5QiSlvTbb0bH7cFNR,5DMPK5QiSlvTbb0bH7cFNR,RealDeal Berns,1401,0.626,0.72,10,0,0.0951,0,166.232,0.569,0.442,-4.85,sex
1051,1351,You Lied,spotify:track:5ZSFTQ70kXT0HeOBKO14lC,5ZSFTQ70kXT0HeOBKO14lC,Rayy Dubb,567,0.8140000000000001,0.7170000000000001,10,0,0.00518,0.0,140.0,0.722,0.165,-6.537999999999999,sad
1022,1316,Na Na Na Na Na (Caught Slippin),spotify:track:4xziwMELQnVQHbb94B51xk,4xziwMELQnVQHbb94B51xk,Ramirez,537,0.83,0.91,9,1,0.0455,0.000367,94.0,0.736,0.185,-4.631,sex
1068,1365,We Are Lost,spotify:track:0KWZV6y0e2osCZfFI19mhT,0KWZV6y0e2osCZfFI19mhT,Noxi,552,0.533,0.112,10,1,0.989,0.972,120.04,0.17800000000000002,0.0358,-16.906,sex
1827,1827,Hey Ya! - Radio Mix / Club Mix,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,5WQ1hIc5d2EVbRQ8qsj8Uh,OutKast,599,0.719,0.967,0,1,0.0588,0.000249,79.505,0.9640000000000001,0.0552,-2.435,party
1805,2282,Never Be Like You,spotify:track:4ja3m5fYLcugwuXB6Jkh4Y,4ja3m5fYLcugwuXB6Jkh4Y,Flume,911,0.529,0.554,0,1,0.467,0,119.725,0.28600000000000003,0.0556,-5.427,sex
1262,1601,Out West,spotify:track:27Zp4clfhVk3Qx9TwCwZ97,27Zp4clfhVk3Qx9TwCwZ97,Sumwun,625,0.717,0.103,11,0,0.587,0.803,88.989,0.39,0.0925,-10.601,sex
1478,1478,Mejorx,spotify:track:04sDIDwpAKgaxp3jtf3xFN,04sDIDwpAKgaxp3jtf3xFN,Fer Palacio,354,0.721,0.546,7,1,0.173,0.0398,100.036,0.6920000000000001,0.0762,-7.875,party
1263,1602,Dusk,spotify:track:5uKIiBGYPdt2kBEMo8DpYF,5uKIiBGYPdt2kBEMo8DpYF,Space Queen,593,0.717,0.202,7,0,0.962,0.925,84.978,0.44799999999999995,0.058,-15.212,sex
750,750,Gogea,spotify:track:24B57idcLkL1jFKXL4ylln,24B57idcLkL1jFKXL4ylln,El Candela,403,0.824,0.851,11,0,0.0418,0.00673,133.048,0.9640000000000001,0.106,-1.86,party
1812,2295,Pinuchosky,spotify:track:3sSZREzGcIY2r9c1kxBSTj,3sSZREzGcIY2r9c1kxBSTj,Fritz Da Cat,915,0.8170000000000001,0.8170000000000001,2,1,0.325,0.0,94.008,0.818,0.242,-5.343,sad
2318,2976,Wild Things,spotify:track:0PAj9Y5kFEzhGeWkockoxv,0PAj9Y5kFEzhGeWkockoxv,Alessia Cara,96,0.741,0.626,1,0,0.02,0.0,108.029,0.706,0.0886,-4.8260000000000005,sad
925,1154,"If You Need To, Keep Time on Me",spotify:track:7d0XkI4iJ32nxeFAHFXbLQ,7d0XkI4iJ32nxeFAHFXbLQ,Fleet Foxes,503,0.521,0.22,9,1,0.647,0.008140000000000001,104.03,0.135,0.0314,-10.202,sad
1042,1042,Cinderella Story,spotify:track:2m8PLOBNidEKN00EIN6X7X,2m8PLOBNidEKN00EIN6X7X,Gestört aber GeiL,509,0.744,0.804,8,1,0.0234,2.36e-05,125.039,0.46299999999999997,0.207,-7.206,party
1862,2344,Yoga Music (Ethno),spotify:track:0wpr8pk3ZCr8gRFfJD6s7f,0wpr8pk3ZCr8gRFfJD6s7f,Ethno Lounge Music DJ,938,0.683,0.233,1,1,0.102,0.86,119.981,0.105,0.032,-10.29,sex
2343,3006,I.C.Y.M.I.,spotify:track:5sUl8V9GLPVqdhqGoalSaD,5sUl8V9GLPVqdhqGoalSaD,Daya,1169,0.701,0.804,0,1,0.0135,0.0,145.02,0.643,0.10099999999999999,-5.1339999999999995,sad
2944,3796,Lobos,spotify:track:4Cg5TwiXJb892EHDj2w9de,4Cg5TwiXJb892EHDj2w9de,Leiva,1345,0.595,0.831,11,0,0.000277,2.7899999999999997e-05,128.017,0.708,0.0642,-5.761,sad
1242,1577,Hale Bopp,spotify:track:5d3saZ4jb82q83abtg9mxz,5d3saZ4jb82q83abtg9mxz,Carlos Sadness,636,0.474,0.757,2,1,0.00216,0.0019100000000000002,167.919,0.7809999999999999,0.0495,-5.205,sad
2907,3755,Big Bang,spotify:track:0Z4KQyhYSTiCNsPvGpvBUS,0Z4KQyhYSTiCNsPvGpvBUS,Arde Bogotá,1389,0.488,0.9620000000000001,4,1,0.00143,0.865,126.01799999999999,0.255,0.135,-4.899,sad
