,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
3112,Bedford Falls,spotify:track:0pmHBrhcPIosPihYzGvXRQ,0pmHBrhcPIosPihYzGvXRQ,0.418,0.419,11,1,0.949,0.719,169.87,0.122,0.0592,-8.706,ford.,sad
3113,They Don't Need Me,spotify:track:4ZGyUqh0rXeFRxBK5YU9z7,4ZGyUqh0rXeFRxBK5YU9z7,0.692,0.314,3,0,0.145,0.559,144.076,0.25,0.0525,-13.425,Sarcastic Sounds,sad
3114,Father Forgive Me,spotify:track:0gMR1l2yDd8yWBNK7LueIP,0gMR1l2yDd8yWBNK7LueIP,0.465,0.253,2,0,0.762,0.000177,91.922,0.341,0.0365,-13.976,Unclenathannn,sad
3115,And Then I Woke Up,spotify:track:2JErckA5eFroTqlPJLUx0D,2JErckA5eFroTqlPJLUx0D,0.442,0.0699,8,0,0.912,0.75,105.68,0.0914,0.0343,-22.476,Idealism,sad
3116,I Don't Need Him (Community Beat),spotify:track:3Z2gsW9I3oz3fYNSCqprOV,3Z2gsW9I3oz3fYNSCqprOV,0.792,0.413,8,1,0.87,0.495,112.995,0.545,0.0642,-15.023,Beowülf,sad
3117,"Forever, Pt. 2",spotify:track:4dt6LNCOYAvG0vrWJuCsmC,4dt6LNCOYAvG0vrWJuCsmC,0.402,0.196,8,0,0.664,0.058,87.268,0.362,0.198,-21.657,ilyTOMMY,sad
3118,"I Love You, That's the Problem",spotify:track:4XlbP9sx3zGJT0ghz2OtYi,4XlbP9sx3zGJT0ghz2OtYi,0.749,0.498,8,1,0.42,0.425,158.006,0.351,0.0869,-10.743,Kochetkovv,sad
3119,OdeToYou,spotify:track:7laPt9sVrlXLK80PoQf05p,7laPt9sVrlXLK80PoQf05p,0.673,0.356,3,0,0.503,0.814,81.008,0.145,0.0365,-10.683,Flitz&Suppe,sad
3120,Disappointed,spotify:track:53fMilutqxWd5QOhHweInL,53fMilutqxWd5QOhHweInL,0.75,0.224,7,1,0.675,0.000315,110.045,0.0562,0.0577,-15.164,Timmies,sad
3122,Milestone,spotify:track:5AqNEz03EqJtltKGBFtRVR,5AqNEz03EqJtltKGBFtRVR,0.633,0.335,4,1,0.751,0.00274,130.144,0.151,0.0424,-14.977,Matt Walden,sad
3123,Will You Stay Here with Me,spotify:track:4S2skQrxky4uE2zqskAkdc,4S2skQrxky4uE2zqskAkdc,0.775,0.345,1,0,0.591,0.409,81.046,0.872,0.372,-9.911,Tomppabeats,sad
3124,Harder,spotify:track:5Kvf5qLa7bvgCV5lddTbDY,5Kvf5qLa7bvgCV5lddTbDY,0.46,0.456,7,1,0.874,0.00334,132.196,0.141,0.0689,-12.169,Oliver Riot,sad
3125,Falling Apart,spotify:track:3xFqKRHYknK6Y0PTfGq6h9,3xFqKRHYknK6Y0PTfGq6h9,0.604,0.584,4,1,0.653,0,75.013,0.414,0.0562,-10.604,Mixed Version,sad
3126,It's Not Too Late for Me,spotify:track:7hHQddGeKeeqQmvfIEi5T1,7hHQddGeKeeqQmvfIEi5T1,0.716,0.0944,0,0,0.907,0.612,125.006,0.66,0.0981,-24.538,Beowülf,sad
3127,Mellow Skies,spotify:track:0SURetO6CiCasHwCXv6V72,0SURetO6CiCasHwCXv6V72,0.721,0.246,5,1,0.359,0.846,130.035,0.135,0.0723,-12.222,Hakaisu,sad
3128,A Little Bit Colder,spotify:track:6eAXXP4dIbWPLS3BzscuW7,6eAXXP4dIbWPLS3BzscuW7,0.567,0.415,8,1,0.865,0.808,74.951,0.568,0.059,-15.063,stream_error,sad
3129,you're not like everyone else,spotify:track:0Z6jJtJnVUis72b0ZRY8iA,0Z6jJtJnVUis72b0ZRY8iA,0.69,0.422,0,0,0.973,0.00763,78.012,0.4,0.19,-14.272,sagun,sad
3130,I'm Where You Left Me,spotify:track:0H5DGeGosvU4YJ9ycyg7P9,0H5DGeGosvU4YJ9ycyg7P9,0.365,0.238,5,0,0.816,0.0119,138.32,0.244,0.0424,-18.646,Teqkoi,sad
3131,When Have I Fallen,spotify:track:1g9pNxvJYOSUIeXYhaOFTr,1g9pNxvJYOSUIeXYhaOFTr,0.711,0.111,11,1,0.864,0.925,124.003,0.273,0.0696,-19.202,Kochetkovv,sad
3132,Love Hurts,spotify:track:5ZFDe85SjknlaOXEF3f2zc,5ZFDe85SjknlaOXEF3f2zc,0.824,0.403,1,0,0.548,0.0677,110.067,0.398,0.168,-16.153,8percent,sad
3133,So My Darling,spotify:track:2gTbUnnr8nDpP8nK6CENoA,2gTbUnnr8nDpP8nK6CENoA,0.423,0.318,9,0,0.639,2.32e-06,125.742,0.35,0.0579,-11.243,Rachel Chinouriri,sad
3134,Moonrise Kingdom,spotify:track:1NWK3gKPZPATIdSKLNGV8D,1NWK3gKPZPATIdSKLNGV8D,0.553,0.476,10,1,0.821,0.773,83.053,0.257,0.0874,-11.847,Prima,sad
3135,Invisible,spotify:track:60DYY8zpU8TCI2acA1AJWV,60DYY8zpU8TCI2acA1AJWV,0.236,0.627,0,1,0.873,7.39e-05,88.829,0.132,0.0772,-11.991,dandelion hands,sad
3136,Find You,spotify:track:1IUQQFypIkgosFrS04oQzZ,1IUQQFypIkgosFrS04oQzZ,0.641,0.437,7,1,0.125,0.529,140.019,0.375,0.0436,-11.189,Nuxe,sad
3137,i know what love is.,spotify:track:6S0MO9KzXi7TSmVsHQK1uA,6S0MO9KzXi7TSmVsHQK1uA,0.647,0.413,0,1,0.687,0.918,90.253,0.328,0.0379,-13.138,aesthetic boi,sad
3138,Blame Me,spotify:track:5BtZIvtbJD4FeuxW6sx434,5BtZIvtbJD4FeuxW6sx434,0.642,0.188,2,0,0.301,0.808,184.198,0.834,0.0432,-13.124,Melvin Alex,sad
